origin,destination,count
35208,35215,1
35244,35020,1
35068,35071,1
35126,35203,1
35173,35126,1
35080,35211,1
35224,35233,1
35126,35215,1
35213,35071,1
35209,35022,1
35205,35235,1
35205,35020,1
35064,35022,1
